medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
F6F7D02179BE915B23EF2DB57836442D,088879B44B80CC9ED43724776C539370,VTS,CRD,12,0.5,0.5,1.75,0,14.75,1,2013-01-13 04:36asdf,2013-01-13 04:46asdf,5,600,3.12,-73.996933,40.720055,-73.993546,40.693043,4024007124352922
BE386D8524FCD16B3727DCF0A32D9B25,4EB96EC9F3A42794DEE233EC8A2616CE,VTS,CRD,12,0.5,0.5,3.12,0,16.12,1,2013-01-13 04:37:00,2013-01-13 04:48:00,2,660,3.39,-74.000313,40.730068,-73.987373,40.768406,5163294842280902
E9FF471F36A91031FE5B6D6228674089,72E0B04464AD6513F6A613AABB04E701,VTS,CRD,5.5,0.5,0.5,1.2,0,7.7,1,2013-01-13 04:41:00,2013-01-13 04:45:00,1,240,1.16,-73.997292,40.720982,-74.000443,40.732376,4532038713619608
89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-01 15:11:48,2013-01-01 15:18:10,4,382,1,-73.978165,40.757977,-73.989838,40.751171,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,6,0.5,0.5,0,0,7,1,2013-01-06 00:18:35,2013-01-06 00:22:54,1,259,1.5,-74.006683,40.731781,-73.994499,40.75066,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-05 18:49:41,2013-01-05 18:54:23,1,282,1.1,-74.004707,40.73777,-74.009834,40.726002,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,5,0.5,0.5,0,0,6,1,2013-01-07 23:54:15,2013-01-07 23:58:20,2,244,0.7,-73.974602,40.759945,-73.984734,40.759388,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,9.5,0.5,0.5,0,0,10.5,1,2013-01-07 23:25:03,2013-01-07 23:34:24,1,560,2.1,-73.97625,40.748528,-74.002586,40.747868,
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,CSH,9.5,0,0.5,0,0,10,1,2013-01-07 15:27:48,2013-01-07 15:38:37,1,648,1.7,-73.966743,40.764252,-73.983322,40.743763,
496644932DF3932605C22C7926FF0FE0,513189AD756FF14FE670D10B92FAF04C,CMT,CSH,6,0,0.5,0,0,6.5,1,2013-01-08 11:01:15,2013-01-08 11:08:14,1,418,0.8,-73.995804,40.743977,-74.007416,40.744343,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,34,0,0.5,0,4.8,39.3,1,2013-01-07 12:39:18,2013-01-07 13:10:56,3,1898,10.7,-73.989937,40.756775,-73.86525,40.77063,
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-07 18:15:47,2013-01-07 18:20:47,1,299,0.8,-73.980072,40.743137,-73.982712,40.735336,
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,CSH,13,0,0.5,0,0,13.5,1,2013-01-07 15:33:28,2013-01-07 15:49:26,2,957,2.5,-73.977936,40.786983,-73.952919,40.80637,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-08 13:11:52,2013-01-08 13:19:50,1,477,1.3,-73.982452,40.773167,-73.964134,40.773815,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,9,0,0.5,0,0,9.5,1,2013-01-08 09:50:05,2013-01-08 10:02:54,1,768,0.7,-73.99556,40.749294,-73.988686,40.759052,
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,CSH,9.5,0,0.5,0,0,10,1,2013-01-10 12:07:08,2013-01-10 12:17:29,1,620,2.3,-73.971497,40.791321,-73.964478,40.775921,
237F49C3ECC11F5024B254268F054384,93C363DDF8ED9385D65FAD07CE3F5F07,CMT,CSH,10,0,0.5,0,0,10.5,1,2013-01-07 07:35:47,2013-01-07 07:46:00,1,612,2.3,-73.98851,40.774307,-73.981094,40.755325,
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,CSH,15.5,0,0.5,0,0,16,1,2013-01-10 15:42:29,2013-01-10 16:04:02,1,1293,3.2,-73.994911,40.723221,-73.971558,40.761612,
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,CSH,16.5,0,0.5,0,0,17,1,2013-01-10 14:27:28,2013-01-10 14:45:21,1,1073,4.4,-74.010391,40.708702,-73.987846,40.756104,
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,CSH,9,0.5,0.5,0,0,10,1,2013-01-07 22:09:59,2013-01-07 22:19:50,1,591,1.7,-73.973732,40.756287,-73.998413,40.756832,
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,CSH,4.5,1,0.5,0,0,6,1,2013-01-07 17:18:16,2013-01-07 17:20:55,1,158,0.7,-73.968925,40.767704,-73.96199,40.776566,
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-07 06:08:51,2013-01-07 06:13:14,1,262,1.7,-73.96212,40.769737,-73.979561,40.75539,
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,10.5,0.5,0.5,0,0,11.5,1,2013-01-07 22:25:46,2013-01-07 22:36:56,1,669,2.3,-73.989708,40.756714,-73.977615,40.787575,
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,CSH,52,0,0.5,0,4.8,57.3,2,2013-01-10 23:41:51,2013-01-11 00:09:11,1,1640,17.5,-73.78331,40.648766,-73.988914,40.748207,
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,CSH,15.5,1,0.5,0,0,17,1,2013-01-07 18:05:36,2013-01-07 18:23:50,4,1094,3.8,-73.956505,40.771278,-73.996368,40.73246,
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,CSH,15.5,1,0.5,0,0,18,1,2013-01-07 18:05:36,2013-01-07 18:23:50,4,1094,3.8,-73.956505,40.771278,-73.996368,40.73246,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-08 13:29:25,2013-01-08 13:37:52,1,507,1.2,-73.95578,40.77932,-73.967285,40.763344,
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,CSH,8,0.5,0.5,0,0,9,1,2013-01-07 21:13:02,2013-01-07 21:22:31,1,568,1.1,-73.978439,40.764679,-73.977684,40.777004,
E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,CSH,4,0,0.5,0,0,4.5,1,2013-01-01 18:36:53,2013-01-01 18:39:04,1,131,0.5,-73.992172,40.749954,-73.99675,40.744553,
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-07 08:17:06,2013-01-07 08:22:46,1,340,1.5,-73.992111,40.689701,-74.007156,40.679295,
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,7,0.5,0.5,0,0,8,1,2013-01-07 22:39:03,2013-01-07 22:44:16,1,312,1.5,-73.978653,40.787735,-73.96579,40.805321,
A3B17384165197E18CA0A1BB61277EE9,B8396B62883EA332EFD2771A6B031D05,CMT,CSH,4,0.5,0.5,0,0,5,1,2013-01-07 06:26:32,2013-01-07 06:28:24,2,111,0.5,-73.965317,40.769375,-73.967133,40.763699,
8E189DABE265CC03FEF4BFC695B32559,906939B31C0B93768242A58A682412B8,CMT,CSH,31,0,0.5,0,4.8,36.3,1,2013-01-01 14:02:01,2013-01-01 14:27:39,2,1537,10.2,-73.862709,40.769142,-73.982079,40.762295,
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-05 11:54:49,2013-01-05 12:03:48,1,539,0.8,-73.977127,40.74831,-73.990913,40.751053,
F1EF8290A54338B1396DD98E38E09143,0FDDEFAFF6FC38BD632B6DDED47DA618,CMT,CSH,20,0,0.5,0,0,20.5,1,2013-01-05 08:16:58.000,2013-01-05 08:30:20.000,1,801,6.5,-73.976318,40.682724,-73.917915,40.742664,
0F9E0728AB1E40D5CEB0C6EDBF805CCB,8434E8A33D8C0150573FAA00B8A9ABF5,CMT,CSH,10,0,0.5,0,0,10.5,1,2013-01-05 19:04:43,2013-01-05 19:13:58,1,555,2.8,-73.966682,40.761139,-73.938515,40.792332,
33A0B414EB87DB2538CB5929BF1EEE0D,8105CBF11B1747C525FA81334375EF5B,CMT,CSH,18,0,0.5,0,0,18.5,1,2013-01-05 17:34:11,2013-01-05 17:48:54,1,882,5.2,-73.948334,40.776482,-73.99176,40.733841,
24B56A4A0AC119529DBA559181C14FE4,CD5A75F5F950B3E26D561732332C8A5D,CMT,CSH,11,0,0.5,0,0,11.5,1,2013-01-05 18:59:29,2013-01-05 19:12:21,1,771,2.4,-73.993202,40.724407,-73.984833,40.748741,
24B56A4A0AC119529DBA559181C14FE4,CD5A75F5F950B3E26D561732332C8A5D,CMT,CSH,11,0,0.5,0,0,12.5,1,2013-01-05 18:59:29,2013-01-05 19:12:21,1,771,2.4,-73.993202,40.724407,-73.984833,40.748741,
7E3256C342CAFB3C23D3ABB98B9F3FB6,4F7873C913735088F9BEF85C1D054D31,CMT,CSH,21,0.5,0.5,0,0,22,1,2013-01-05 03:00:46,2013-01-05 03:23:28,1,1361,5.5,-73.9655,40.711113,-73.918327,40.758671,
2C159C8FCCDE50174CF6CFC07E75F1BA,51C567531541EE45C5EE86E956E46E4C,CMT,CSH,5.5,0.5,0.5,0,0,6.5,1,2013-01-07 04:45:14,2013-01-07 04:48:56,1,222,0.9,-73.991936,40.749622,-73.978531,40.751308,
1F03ADDC384F4C5FB5E760528D4E0BA5,6607D2680127BFBCFF94193B15578DE7,CMT,CSH,5.5,0,0.5,0,0,6,1,2013-01-01 18:45:02,2013-01-01 18:48:48,1,225,1.2,-73.982384,40.752102,-73.993332,40.736393,
764CA5AE502C0FEC9BB69DBCB6BB4ECC,26516CD746248B3495CBD99A8ABAF8B4,CMT,CSH,12,0.5,0.5,0,0,13,1,2013-01-05 20:51:53,2013-01-05 21:02:43,3,650,3.3,-73.993828,40.721008,-73.9524,40.723228,
CD9DEF073BAB75B8B36015D85FD3F777,80430F0667E3C82E63AAF4F0DC547664,CMT,CSH,32.5,0.5,0.5,0,0,33.5,1,2013-01-05 03:20:28,2013-01-05 03:43:36,4,1387,11.2,-73.991142,40.750366,-73.984436,40.618481,
DD98E2C3AF5C47B4449F720ECC5778D4,79807332B275653A2473554C7328500A,CMT,CSH,2.5,0,0.5,0,4.8,7.8,1,2013-01-02 06:58:08,2013-01-02 07:24:24,1,1576,3,-73.987022,40.759373,-73.862022,40.768017,
26FC1764E8F96A8233F8C77F21D4161A,D8512BDC6E6DBF909DCC78174F02DA41,CMT,CSH,17,0.5,0.5,0,0,18,1,2013-01-06 00:46:25,2013-01-06 01:02:05,1,940,4.5,-73.991173,40.74313,-74.013763,40.702297,
4A4DA06C65CFA356CD538AF4B899430E,7CE1605151178F02B4EBBD8472C86A13,CMT,CSH,11,0,0.5,0,0,11.5,1,2013-01-02 08:12:21,2013-01-02 08:24:43,1,742,2.5,-73.99115,40.750023,-73.952614,40.74115,
764CA5AE502C0FEC9BB69DBCB6BB4ECC,26516CD746248B3495CBD99A8ABAF8B4,CMT,CSH,9,0,0.5,0,0,9.5,1,2013-01-05 19:45:00,2013-01-05 19:57:27,2,746,1.1,-73.989342,40.763168,-73.991577,40.750309,
E8950C1BF2CE598E95DE0CA5C89FA4BA,E4D2F480F3C91138B7BA9F1BDE710434,CMT,CSH,3.5,0.5,0.5,0,0,4.5,1,2013-01-05 21:23:06,2013-01-05 21:25:19,1,132,0.3,-73.959496,40.779442,-73.960724,40.775745,
99115D1EA0AE33939899D652DCC34089,A91627126C0D01A3752C7687EFEF9478,CMT,CSH,52,0,0.5,0,4.8,57.3,2,2013-01-05 01:12:58,2013-01-05 01:26:27,1,808,5.7,-73.904716,40.726418,-73.984154,40.760082,
9BB803DFE81D89F77C37D4C05BB1ABA1,797E4DBEC1C53DBC3196540342C64D4B,CMT,CSH,8,0,0.5,0,0,8.5,1,2013-01-06 10:56:31,2013-01-06 11:06:08,2,576,1.2,-73.95871,40.768471,-73.973656,40.763348,
